Name,MS,BNS,MGF,LM
GRB140721336,1.000e+00,1.097e-05,3.512e-08,3.372e-14
GRB140723067,9.997e-01,3.412e-04,1.512e-06,1.488e-12
GRB140723499,7.693e-01,2.297e-01,1.039e-03,1.078e-09
GRB140724533,4.684e-02,8.221e-01,1.311e-01,3.247e-11
GRB140725583,7.859e-01,2.109e-01,3.173e-03,5.264e-09
GRB140727748,9.031e-01,9.626e-02,6.535e-04,5.025e-10
GRB140729026,8.488e-01,1.499e-01,1.315e-03,4.433e-09
GRB140801792,1.000e+00,3.368e-11,1.652e-13,2.915e-15
GRB140807500,2.636e-03,9.830e-01,1.433e-02,6.265e-13
GRB140808038,9.760e-01,2.385e-02,1.042e-04,1.773e-08
GRB140809133,7.925e-01,2.048e-01,2.725e-03,3.365e-09
GRB140810782,9.993e-01,3.618e-04,3.555e-04,1.505e-13
GRB140817229,8.058e-01,1.918e-01,2.424e-03,4.081e-09
GRB140817293,9.976e-01,2.369e-03,1.439e-05,8.685e-12
GRB140818229,9.853e-01,1.461e-02,5.872e-05,4.222e-11
GRB140818781,8.117e-01,1.861e-01,2.262e-03,3.102e-09
GRB140819160,3.213e-07,1.000e+00,4.946e-07,1.739e-16
GRB140821997,4.595e-01,5.398e-01,6.400e-04,2.422e-10
GRB140824548,5.674e-01,4.316e-01,9.134e-04,4.801e-09
GRB140824606,8.862e-01,1.129e-01,8.974e-04,1.008e-09
GRB140825328,9.993e-01,6.511e-04,2.600e-06,2.567e-12
GRB140827763,1.000e+00,1.897e-06,8.795e-09,3.178e-11
GRB140828288,8.708e-01,1.281e-01,1.118e-03,8.328e-10
GRB140829880,9.281e-01,7.127e-02,5.821e-04,2.682e-10
GRB140831215,5.072e-01,4.764e-01,1.644e-02,4.876e-11
GRB140831374,5.871e-01,4.102e-01,2.777e-03,1.375e-09
GRB140901262,8.224e-01,1.758e-01,1.789e-03,3.355e-09
GRB140901821,8.440e-02,7.702e-01,1.454e-01,5.780e-11
GRB140905454,9.993e-01,6.633e-04,7.753e-07,1.667e-13
GRB140906175,9.447e-01,5.494e-02,3.626e-04,4.729e-10
GRB140906429,9.906e-01,9.355e-03,4.810e-06,1.689e-13
GRB140907429,8.016e-01,1.960e-01,2.400e-03,3.356e-09
GRB140907672,9.305e-01,6.902e-02,4.916e-04,3.529e-10
GRB140911012,9.967e-01,3.268e-03,1.205e-05,5.678e-12
GRB140916234,8.039e-01,1.936e-01,2.489e-03,4.354e-09
GRB140917512,9.970e-01,3.009e-03,1.944e-05,1.379e-11
GRB140918379,8.370e-01,1.619e-01,1.157e-03,6.477e-10
GRB140919636,9.997e-01,2.563e-04,1.453e-06,1.239e-12
GRB140928100,9.988e-01,1.154e-03,1.406e-06,2.890e-11
GRB140928437,8.713e-01,1.272e-01,1.430e-03,1.125e-09
GRB140929677,8.065e-01,1.911e-01,2.354e-03,2.599e-09
GRB140930134,7.181e-01,2.779e-01,3.969e-03,2.800e-09
GRB141003564,8.005e-01,1.971e-01,2.370e-03,4.759e-08
